typ;id;model_id;kod_kreskowy;numer_egzemplarza;stara_nazwa;nowa_nazwa;zmieniono;reguly;status_po;podejrzane_powody
MODEL_SPRZETU;569;569;0200000000046;;Konwerter HDMI <-> SDI;Konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1832;569;0000000000197;1;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1833;569;0000000000206;10;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1834;569;0000000000207;11;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1835;569;0000000000208;12;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1836;569;0000000002496;13;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1837;569;0000000002497;14;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1838;569;0000000002498;15;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1839;569;0000000002499;16;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1840;569;0000000002500;17;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1841;569;0000000002501;18;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1842;569;0000000002502;19;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1844;569;0000000000198;2;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1845;569;0000000002503;20;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1846;569;0000000002504;21;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1847;569;0000000002505;22;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1848;569;0000000002506;23;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1849;569;0000000002507;24;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1850;569;0000000002508;25;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1851;569;0000000002509;26;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1853;569;0000000000199;3;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1855;569;0000000000200;4;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1857;569;0000000000201;5;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1859;569;0000000000202;6;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1861;569;0000000000203;7;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1863;569;0000000000204;8;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
EGZEMPLARZ_SPRZETU;1864;569;0000000000205;9;Decimator konwerter HDMI <-> SDI;Decimator konwerter HDMI <-> SDI;NIE;;DO_KONTROLI;html_tag
