typ;id;model_id;kod_kreskowy;numer_egzemplarza;stara_nazwa;nowa_nazwa;zmieniono;reguly;status_po;podejrzane_powody
MODEL_OPAKOWANIA;1;1;;;"1 x Monitor 43"" (PANASONIC TH-43CQE1W)";"1 x Monitor 43"" (PANASONIC TH-43CQE1W)";NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;374;1;0100000000334;1;"1 x Monitor 43"" (PANASONIC TH-43CQE1W) 1/1szt Waga: 29.1kg [1]";"1 x Monitor 43"" (PANASONIC TH-43CQE1W) [1]";TAK;usunieto_stan_szt_i_wage | zachowano_numer_egzemplarza;OK;
MODEL_OPAKOWANIA;2;2;;;1 x Pulpit dla tłumaczy Bosch Integrus LBB3222/04 (zestaw 2);1 x Pulpit dla tłumaczy Bosch Integrus LBB3222/04 (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;72;2;0100000000091;;1 x Pulpit dla tłumaczy Bosch Integrus LBB3222/04 (zestaw 2) 1/1szt Waga: 8.4kg;1 x Pulpit dla tłumaczy Bosch Integrus LBB3222/04 (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;3;3;;;10 x LedBar TRIBAR 400 IR (zestaw 1);10 x LedBar TRIBAR 400 IR (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;90;3;0100000000010;;10 x LedBar TRIBAR 400 IR (zestaw 1) 10/10szt Waga: 58kg;10 x LedBar TRIBAR 400 IR (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;4;4;;;10 x LedBar TRIBAR 400 IR (zestaw 2);10 x LedBar TRIBAR 400 IR (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;11;4;0100000000011;;10 x LedBar TRIBAR 400 IR (zestaw 2) 10/10szt Waga: 58kg;10 x LedBar TRIBAR 400 IR (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;5;5;;;10 x LedBar TRIBAR 400 IR (zestaw 3);10 x LedBar TRIBAR 400 IR (zestaw 3);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;158;5;0100000000012;;10 x LedBar TRIBAR 400 IR (zestaw 3) 10/10szt Waga: 58kg;10 x LedBar TRIBAR 400 IR (zestaw 3);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;6;6;;;10 x LedBar TRIBAR 400 IR (zestaw 4);10 x LedBar TRIBAR 400 IR (zestaw 4);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;433;6;0100000000013;;10 x LedBar TRIBAR 400 IR (zestaw 4) 10/10szt Waga: 58kg;10 x LedBar TRIBAR 400 IR (zestaw 4);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;7;7;;;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1);2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;148;7;0100000000092;;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1) 2/2szt Waga: 40.2kg;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;8;8;;;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2);2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;220;8;0100000000093;;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2) 2/2szt Waga: 40.2kg;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;9;9;;;2 x Aktywna kolumna Proel WD12A (zestaw 1);2 x Aktywna kolumna Proel WD12A (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;123;9;0100000000098;;2 x Aktywna kolumna Proel WD12A (zestaw 1) 2/2szt Waga: 48.6kg;2 x Aktywna kolumna Proel WD12A (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;10;10;;;2 x Aktywna kolumna Proel WD12A (zestaw 2);2 x Aktywna kolumna Proel WD12A (zestaw 2);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;82;10;0100000000099;;2 x Aktywna kolumna Proel WD12A (zestaw 2) 2/2szt Waga: 48.6kg;2 x Aktywna kolumna Proel WD12A (zestaw 2);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;11;11;;;2 x Aktywna kolumna Turbosound iQ12 (zestaw 1);2 x Aktywna kolumna Turbosound iQ12 (zestaw 1);NIE;;OK;
EGZEMPLARZ_OPAKOWANIA;459;11;0100000000100;;2 x Aktywna kolumna Turbosound iQ12 (zestaw 1) 2/2szt Waga: 63.6kg;2 x Aktywna kolumna Turbosound iQ12 (zestaw 1);TAK;usunieto_stan_szt_i_wage;OK;
MODEL_OPAKOWANIA;12;12;;;2 x Kolumna pasywna L'Acoustics X12 (zestaw 1);2 x Kolumna pasywna L'Acoustics X12 (zestaw 1);NIE;;OK;
