;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Extender HDMI FIBER 4K;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;3;;Notatka;0.034992 m3;6.6 kg;Brak statusu;Zwrócony;PARTER 2/C;33;
;;;Konwerter HDMI <-> SDI;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;4;;Notatka;0.0085 m3;2 kg;Brak statusu;Zwrócony;;46;
;;;Splitter SDI;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0.01518 m3;3.6 kg;Brak statusu;Zwrócony;;64;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0 m3;0.4 kg;Brak statusu;Zwrócony;;86;
;;;Skrzynka z przejściówkami i akcesoriami;Ilość;;1 szt.;Od: 2026-06-08 08:46Do: 0000-00-00 00:00;1;;Notatka;0.04 m3;6.7 kg;Brak statusu;Zwrócony;;267;
;;;Extender HDMI Fiber FullHD;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0.01248 m3;2.4 kg;Brak statusu;Zwrócony;PARTER 2/C;206;
;;;Splitter HDMI 1:2;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0.00231 m3;0.4 kg;Brak statusu;Zwrócony;PARTER 2/C;207;
;;;KeyDigital KD-HD1x4ProK splitter HDMI 1:4 4K;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;212;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser wizyjny AnalogWay Pulse2-3G;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;1;;Notatka;0.07788 m3;18.2 kg;Brak statusu;Zwrócony;;28;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 32""";Ilość;;2 szt.;Od: 2026-06-08 08:36Do: 0000-00-00 00:00;2;;Notatka;0.21 m3;39.6 kg;Brak statusu;Zwrócony;PARTER 3/A;138;
;;;"Monitor 22""";Ilość;;4 szt.2 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0.13 m3;21.2 kg;Brak statusu;Zwrócony;;131;
;;;"Monitor 65""";Ilość;;2 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;4;;Notatka;1.46 m3;242 kg;Brak statusu;Zwrócony;PIETRO;140;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
;;;SDI 50m;Ilość;;1 szt.;Od: 2026-06-08 08:44Do: 0000-00-00 00:00;2;;Notatka;0.086688 m3;18.8 kg;Brak statusu;Zwrócony;;114;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
Obciążenie;;;;;;;;;;;;;;;;;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
