;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar VX1000;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;1;;Notatka;0.03816 m3;14 kg;Brak statusu;;PARTER 3/A;80;
Ekrany LED;;;;;;;;;;;;;;;;;
;;;KABINET ABSEN PL2.5;Ilość;;6 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;48;;Notatka;0 m3;384 kg;Brak statusu;;;569;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Pinówka 64x pin;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;2;;Notatka;0.039312 m3;16 kg;Brak statusu;;PIETRO;195;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 0,21m czarna;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;10;;Notatka;0.2 m3;30 kg;Brak statusu;;;280;
;;;Alustage Corner Box czarny;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;10;;Notatka;0.5 m3;140 kg;Brak statusu;;PIETRO;269;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;5;;Notatka;0.85 m3;75 kg;Brak statusu;;PIETRO;282;
;;;Alustage kratownica Quadro 0,5m czarna;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;8;;Notatka;0.32 m3;39.2 kg;Brak statusu;;;281;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;5;;Notatka;0.4 m3;41 kg;Brak statusu;;PIETRO;283;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Balast 25kg;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;10;;Notatka;0 m3;250 kg;Brak statusu;;CHODNIK OBOK POMPY CIEPŁA;154;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
;;;Rozdzielnia Elektryczna 32A;Ilość;;1 szt.;Od: 2026-06-22 00:00Do: 2026-06-26 23:55;1;;Notatka;0.069552 m3;17 kg;Brak statusu;;PARTER 1/B;123;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
Acces Pointy;;;;;;;;;;;;;;;;;
Routery;;;;;;;;;;;;;;;;;
Switche;;;;;;;;;;;;;;;;;
Okablowanie sieciowe;;;;;;;;;;;;;;;;;
Mikrokomputery;;;;;;;;;;;;;;;;;
