;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar VX1000;Ilość;;1 szt.;Od: 2026-06-26 15:08Do: 2026-06-28 23:00;1;;Notatka;0.03816 m3;14 kg;Brak statusu;Zwrócony;PARTER 3/A;80;
;;;Elgato Stream Deck XL;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;1;;Notatka;0 m3;1.2 kg;Brak statusu;Zwrócony;PARTER 2/C;213;
;;;Skrzynka z przejściówkami i akcesoriami;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;1;;Notatka;0.04 m3;6.7 kg;Brak statusu;Zwrócony;;267;
;;;xiaomi TV BOX S;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;4;;Notatka;0 m3;1 kg;Brak statusu;Zwrócony;;560;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser video Roland V-1HD Plus;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;1;;Notatka;0.018648 m3;4.4 kg;Brak statusu;Zwrócony;PARTER 3/A;153;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 55""";Ilość;;2 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;2;;Notatka;0.46 m3;75.2 kg;Brak statusu;Zwrócony;PARTER 3/A;137;
;;-;"Rack Monitor dotykowy 98"" + statyw";Ilość;;0 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;558;
;;;"Monitor 75""";Ilość;;2 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;4;;Notatka;1.74 m3;300 kg;Brak statusu;Zwrócony;PIETRO;139;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
;;;Laptop DELL PRO PLUS 14;Ilość;;2 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;4;;Notatka;0.06 m3;8.8 kg;Brak statusu;Zwrócony;;456;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Wciągarka TOR Industries 1T 9m;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;2;;Notatka;0.033792 m3;40 kg;Brak statusu;Zwrócony;PARTER 2/B;182;
;;;Zawiesie stalowe 1T 2 m;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;14;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;346;
;;;AdamHall najazd Defender Mini 3 kanały;Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;4;;Notatka;0.08 m3;22 kg;Brak statusu;Zwrócony;PARTER 2/B;287;
;;;Pinówka 64x pin;Ilość;;1 szt.;Od: 2026-06-27 08:00Do: 2026-06-28 23:00;1;;Notatka;0.019656 m3;8 kg;Brak statusu;Zwrócony;PIETRO;195;
;;;Osłona na statyw TV czarna;Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;4;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;342;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 3m czarna;Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;1;;Notatka;0.25 m3;21.7 kg;Brak statusu;Zwrócony;PIETRO;284;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;2;;Notatka;0.16 m3;16.4 kg;Brak statusu;Zwrócony;PIETRO;283;
Obciążenie;;;;;;;;;;;;;;;;;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
;;;"B-Tech statyw do TV BT-8504 75""";Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;3;;Notatka;5.91 m3;67.8 kg;Brak statusu;Zwrócony;PARTER 3/C;274;
;;;"B-Tech statyw do TV BT-8503 43""- 60""";Ilość;;1 szt.;Od: 2026-06-26 15:05Do: 2026-06-28 23:00;1;;Notatka;1.77 m3;17 kg;Brak statusu;Zwrócony;PARTER 1/A ORAZ PARTER 3/C;273;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
