;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Extender HDMI FIBER 4K;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.011664 m3;2.2 kg;Brak statusu;Zwrócony;PARTER 2/C;33;
;;;Konwerter HDMI <-> SDI;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;4;;Notatka;0.0085 m3;2 kg;Brak statusu;Zwrócony;;46;
;;;Splitter SDI;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.00759 m3;1.8 kg;Brak statusu;Zwrócony;;64;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;12;;Notatka;0 m3;2.4 kg;Brak statusu;Zwrócony;;86;
;;;Prezenter Interspace Industries MicroCue3;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.02 m3;2.6 kg;Brak statusu;Zwrócony;PARTER 2/C;105;
;;;Spliter HDMI 1:4;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.0021 m3;0.4 kg;Brak statusu;Zwrócony;PARTER 2/C;208;
;;;Elgato Stream Deck XL;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;2;;Notatka;0 m3;2.4 kg;Brak statusu;Zwrócony;PARTER 2/C;213;
;;;Extender HDMI Fiber FullHD;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;4;;Notatka;0.02496 m3;4.8 kg;Brak statusu;Zwrócony;PARTER 2/C;206;
;;;Splitter HDMI 1:2;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;8;;Notatka;0.00924 m3;1.6 kg;Brak statusu;Zwrócony;PARTER 2/C;207;
Ekrany LED;;;;;;;;;;;;;;;;;
;;;KABINET ABSEN PL2.5;Ilość;;6 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;96;;Notatka;0 m3;768 kg;Brak statusu;Zwrócony;;569;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
;;-;Rack mównica multimedialna;Ilość;;szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1 4;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;361;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
;;-;Mediaserwer (Vmix, Resoulume);Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;332;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
;;-;RACK Ipad + AP Mikrotik;Ilość;;szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0 m3;0 kg;Przygotowany;Zwrócony;;431;
;;;iPad (9th);Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;3;;Notatka;0 m3;3 kg;Brak statusu;Zwrócony;;463;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;-;EUROMET Uchwyt do projektora Arakno Standard czarny (do 45kg);Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.01 m3;2.6 kg;Brak statusu;Zwrócony;PARTER 2/B;506;
;;;Profil pod diodę 1m;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;4;;Notatka;0 m3;5.6 kg;Brak statusu;Zwrócony;PIETRO;523;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;9;;Notatka;1.53 m3;135 kg;Brak statusu;Zwrócony;PIETRO;282;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;5;;Notatka;0.4 m3;41 kg;Brak statusu;Zwrócony;PIETRO;283;
;;;Alustage kratownica Quadro 0,5m czarna;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;1;;Notatka;0.04 m3;4.9 kg;Brak statusu;Zwrócony;;281;
;;;Alustage kratownica Quadro 0,21m czarna;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;3;;Notatka;0.06 m3;9 kg;Brak statusu;Zwrócony;;280;
;;;Alustage Corner Box czarny;Ilość;;1 szt.;Od: 2026-06-10 10:00Do: 2026-06-13 23:00;2;;Notatka;0.1 m3;28 kg;Brak statusu;Zwrócony;PIETRO;269;
Obciążenie;;;;;;;;;;;;;;;;;
