;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Extender HDMI FIBER 4K;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;2;;Notatka;0.023328 m3;4.4 kg;Brak statusu;;PARTER 2/C;33;
;;;Skaler Video;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;2;;Notatka;0.01518 m3;3.2 kg;Brak statusu;;PARTER 2/C;58;
;;;Splitter SDI;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0.00759 m3;1.8 kg;Brak statusu;;;64;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0 m3;0.2 kg;Brak statusu;;;86;
;;;Splitter HDMI 1:2;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;2;;Notatka;0.00231 m3;0.4 kg;Brak statusu;;PARTER 2/C;207;
;;;Extender HDMI Fiber FullHD;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;2;;Notatka;0.01248 m3;2.4 kg;Brak statusu;;PARTER 2/C;206;
;;;Spliter HDMI 1:4;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0.0021 m3;0.4 kg;Brak statusu;;PARTER 2/C;208;
;;;Elgato Stream Deck XL;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0 m3;1.2 kg;Brak statusu;;PARTER 2/C;213;
;;;KeyDigital KD-HD1x4ProK splitter HDMI 1:4 4K;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0 m3;0 kg;Brak statusu;;;212;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
Obciążenie;;;;;;;;;;;;;;;;;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
Acces Pointy;;;;;;;;;;;;;;;;;
Routery;;;;;;;;;;;;;;;;;
;;;Router;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0.005952 m3;1.2 kg;Brak statusu;;PARTER 2/C;101;
Switche;;;;;;;;;;;;;;;;;
;;;Switch 8 portów;Ilość;;1 szt.;Od: 2026-06-10 08:00Do: 2026-06-13 23:00;1;;Notatka;0.00286 m3;0.5 kg;Brak statusu;;PARTER 2/C;48;
Okablowanie sieciowe;;;;;;;;;;;;;;;;;
Mikrokomputery;;;;;;;;;;;;;;;;;
