;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar VX1000;Ilość;;1 szt.;Cały event;1;;Notatka;0.03816 m3;14 kg;Brak statusu;;PARTER 3/A;80;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Cały event;1;;Notatka;0 m3;0.2 kg;Brak statusu;;;86;
Ekrany LED;;;;;;;;;;;;;;;;;
;;;KABINET ABSEN PL2.5;Ilość;;6 szt.;Cały event;32;;Notatka;0 m3;256 kg;Brak statusu;;;569;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser wizyjny PixelHue P20;Ilość;;1 szt.;Cały event;1;;Notatka;0.09 m3;26 kg;Brak statusu;;;562;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 43""";Ilość;;2 szt.1 szt.;Cały event;1;;Notatka;0.31 m3;33.4 kg;Brak statusu;;;268;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Cały event;3;;Notatka;0.04 m3;16.3 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Schody modułowe do podestu;Ilość;;1 szt.;Cały event;1;;Notatka;0.28 m3;17 kg;Brak statusu;;;93;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Cały event;2;;Notatka;0.16 m3;16.4 kg;Brak statusu;;PIETRO;283;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Cały event;4;;Notatka;0.68 m3;60 kg;Brak statusu;;PIETRO;282;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 80x80 cm czarna;Ilość;;6 szt.;Cały event;4;;Notatka;0.36 m3;122.8 kg;Brak statusu;;PARTER 2/A;221;
Podesty;;;;;;;;;;;;;;;;;
;;;Podest sceniczny Alustage 2x1m;Ilość;;1 szt.;Cały event;7;;Notatka;1.4 m3;227.5 kg;Brak statusu;;;95;
;;;Podest sceniczny Alustage 1x1m;Ilość;;1 szt.;Cały event;1;;Notatka;0.1 m3;19.6 kg;Brak statusu;;;94;
Statywy;;;;;;;;;;;;;;;;;
;;;K&M Statyw korbowy 4m;Ilość;;1 szt.;Cały event;2;;Notatka;0.254176 m3;58 kg;Brak statusu;;;247;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
;;;Aktywny system modułowy Turbosound iP1000;Ilość;;1 szt.;Cały event;1;;Notatka;2.13 m3;26.2 kg;Brak statusu;;;188;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
;;-;Rack 4x Mikrofon bezprzewodowy Shure QLXD;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;406;
Miksery audio;;;;;;;;;;;;;;;;;
;;;Mikser cyfrowy audio Allen & Heath SQ5;Ilość;;1 szt.;Cały event;1;;Notatka;0.108332 m3;24.5 kg;Brak statusu;;PARTER 1/B;50;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
;;;LedBar TRIBAR 400 IR;Ilość;;10 szt.;Cały event;10;;Notatka;0.29 m3;58 kg;Brak statusu;;PIETRO;39;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
;;;Biały reflektor teatralny Cameo CL200;Ilość;;4 szt.;Cały event;8;;Notatka;0 m3;49.6 kg;Brak statusu;;PIETRO;161;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
