;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Klamra łącząca 2 nogi podestu Alustage SCD-20;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;6;;Notatka;0 m3;3 kg;Brak statusu;;PARTER 2/C;440;
;;;Alustage Noga teleskopowa 100-180cm;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;8;;Notatka;0.08 m3;30.4 kg;Brak statusu;;;272;
;;;Pinówka 64x pin;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;1;;Notatka;0.019656 m3;8 kg;Brak statusu;;PIETRO;195;
;;;Alustage Noga teleskopowa 40-60cm;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;8;;Notatka;0 m3;8 kg;Brak statusu;;PARTER 2/A;271;
;;;Alustage Noga teleskopowa 80-140cm;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;4;;Notatka;0.04 m3;9.6 kg;Brak statusu;;PARTER 2/A;286;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;4;;Notatka;0.68 m3;60 kg;Brak statusu;;PIETRO;282;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 60x60 cm czarna;Ilość;;4 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;4;;Notatka;0.21 m3;115.2 kg;Brak statusu;;PARTER 2/A;194;
Podesty;;;;;;;;;;;;;;;;;
;;;Podest sceniczny Alustage 2x1m;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;2;;Notatka;0.4 m3;65 kg;Brak statusu;;;95;
;;;Podest sceniczny Alustage 1x0,5m;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;3;;Notatka;0.15 m3;36.6 kg;Brak statusu;;;96;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
;;-;RACK spliter DMX + bramka artnet;Ilość;;szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;1;;Notatka;0 m3;0 kg;Brak statusu;;;252;
;;-;Rack MDG Atme;Ilość;;szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;1;;Notatka;0 m3;0 kg;Brak statusu;;;557;
;;;Maltec Wiatrak Czarny;Ilość;;1 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;1;;Notatka;0.05 m3;3.4 kg;Brak statusu;;PIETRO;513;
Ruchome głowy;;;;;;;;;;;;;;;;;
;;;AYRTON Stradale Profile;Ilość;;2 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;6;;Notatka;1.08 m3;270 kg;Brak statusu;;;606;
Led Bary;;;;;;;;;;;;;;;;;
;;;LedBar Flash Professional L1810 25 RGBW;Ilość;;8 szt.;Od: 2026-07-24 08:00Do: 2026-07-26 04:00;16;;Notatka;0.74 m3;150 kg;Brak statusu;;;162;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
