;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar VX1000;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;1;;Notatka;0.03816 m3;14 kg;Brak statusu;;PARTER 3/A;80;
Ekrany LED;;;;;;;;;;;;;;;;;
;;-;KABINET ABSEN NT3.9W V2 0,5 x 1m;Ilość;;4 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;24;;Notatka;0.96 m3;245.28 kg;Brak statusu;;;611;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Absen Beam/ curve bar 1 m;Ilość;;10 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;6;;Notatka;0.48 m3;83 kg;Brak statusu;;;216;
;;;Warmel Steelflex 1T 2 m;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;12;;Notatka;0 m3;0 kg;Brak statusu;;;336;
;;;Pinówka 64x pin;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;3;;Notatka;0.058968 m3;24 kg;Brak statusu;;PIETRO;195;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;20;;Notatka;3.4 m3;300 kg;Brak statusu;;PIETRO;282;
;;;Alustage kratownica Quadro 0,5m czarna;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;4;;Notatka;0.16 m3;19.6 kg;Brak statusu;;;281;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;3;;Notatka;0.24 m3;24.6 kg;Brak statusu;;PIETRO;283;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 80x80 cm czarna;Ilość;;6 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;5;;Notatka;0.36 m3;146 kg;Brak statusu;;PARTER 2/A;221;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
;;;Rozdzielnia Elektryczna 32A;Ilość;;1 szt.;Od: 2026-08-12 08:00Do: 2026-08-16 23:00;1;;Notatka;0.069552 m3;17 kg;Brak statusu;;PARTER 1/B;123;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
Acces Pointy;;;;;;;;;;;;;;;;;
Routery;;;;;;;;;;;;;;;;;
Switche;;;;;;;;;;;;;;;;;
Okablowanie sieciowe;;;;;;;;;;;;;;;;;
