;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
;;;Ekran projekcyjny Adeo 7x4m 16:9 (przód);Ilość;;1 szt.;Cały event;1;;Notatka;0 m3;20.2 kg;Brak statusu;;;450;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser video Roland V-1HD Plus;Ilość;;1 szt.;Cały event;1;;Notatka;0.018648 m3;4.4 kg;Brak statusu;;PARTER 3/A;153;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 22""";Ilość;;4 szt.2 szt.;Cały event;1;;Notatka;0.13 m3;18.2 kg;Brak statusu;;;131;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
;;-;RACK Projektor Panasonic PT-RZ970, 9400 lum., WUXGA, laserowy, DLP;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;385;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Cały event;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;AdamHall najazd Defender OFFICE;Ilość;;15 szt.;Cały event;15;;Notatka;0.05 m3;36 kg;Brak statusu;;PARTER 2/B;288;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Cały event;4;;Notatka;0.68 m3;60 kg;Brak statusu;;PIETRO;282;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 80x80 cm czarna;Ilość;;6 szt.;Cały event;4;;Notatka;0.36 m3;122.8 kg;Brak statusu;;PARTER 2/A;221;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
;;;Statyw mikrofonowy wysoki;Ilość;;1 szt.;Cały event;2;;Notatka;0.02 m3;5 kg;Brak statusu;;PARTER 2/A;290;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
;;-;Rack SYVA;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;599;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
;;;Skrętka RJ 45 75m Ethercon;Ilość;;1 szt.;Cały event;2;;Notatka;0.086688 m3;22.4 kg;Brak statusu;;;112;
;;;Di-Box Stereo;Ilość;;1 szt.;Cały event;3;;Notatka;0 m3;2.4 kg;Brak statusu;;PARTER 1/B;89;
;;;Di-Box Mono;Ilość;;1 szt.;Cały event;1;;Notatka;0 m3;0.6 kg;Brak statusu;;PARTER 1/B;88;
;;;Stagebox Allen & Heath AR2412;Ilość;;1 szt.;Cały event;1;;Notatka;0.05082 m3;12.5 kg;Brak statusu;;PARTER 1/B;148;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
;;;Kolumna pasywna L'Acoustics X8;Ilość;;2 szt.;Cały event;4;;Notatka;0.24 m3;78.6 kg;Brak statusu;;;159;
;;;Kolumna pasywna L'Acoustics KS 21;Ilość;;1 szt.;Cały event;2;;Notatka;0.7 m3;98 kg;Brak statusu;;;435;
;;;Kolumna pasywna L'Acoustics X12;Ilość;;2 szt.;Cały event;3;;Notatka;0.58 m3;110.6 kg;Brak statusu;;;160;
Końcówki mocy;;;;;;;;;;;;;;;;;
;;;Koncowka mocy L'Acoustics LA4X;Ilość;;1 szt.;Cały event;4;;Notatka;0.209304 m3;76 kg;Brak statusu;;;158;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
;;-;Rack 4x Mikrofon bezprzewodowy Shure QLXD;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;406;
Miksery audio;;;;;;;;;;;;;;;;;
;;;Mikser cyfrowy audio Allen & Heath SQ6;Ilość;;1 szt.;Cały event;1;;Notatka;0.19008 m3;40.5 kg;Brak statusu;;PARTER 1/B;51;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
;;-;RACK spliter DMX + bramka artnet;Ilość;;szt.;Cały event;1;;Notatka;0 m3;0 kg;Brak statusu;;;252;
Ruchome głowy;;;;;;;;;;;;;;;;;
