;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Konwerter HDMI <-> SDI;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.002125 m3;0.5 kg;Brak statusu;Zwrócony;;46;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0 m3;0.4 kg;Brak statusu;Zwrócony;;86;
;;;Splitter HDMI 1:2;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.001155 m3;0.2 kg;Brak statusu;Zwrócony;PARTER 2/C;207;
;;;Skrzynka z przejściówkami i akcesoriami;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.04 m3;6.7 kg;Brak statusu;Zwrócony;;267;
;;;Spliter HDMI 1:4;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.0021 m3;0.4 kg;Brak statusu;Zwrócony;PARTER 2/C;208;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
;;;Kamera Sony PXW-X70;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.0675 m3;13.2 kg;Brak statusu;Zwrócony;;27;
;;;Statyw do kamery;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.135408 m3;27.2 kg;Brak statusu;Zwrócony;PARTER 3/A;57;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser video Roland V-1HD Plus;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.018648 m3;4.4 kg;Brak statusu;Zwrócony;PARTER 3/A;153;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 22""";Ilość;;4 szt.2 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.13 m3;21.2 kg;Brak statusu;Zwrócony;;131;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
;;;SDI 50m;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.086688 m3;18.8 kg;Brak statusu;Zwrócony;;114;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL PRO PLUS 14;Ilość;;2 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.03 m3;4.4 kg;Brak statusu;Zwrócony;;456;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
;;-;Mediaserwer (Vmix, Resoulume);Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;332;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
Obciążenie;;;;;;;;;;;;;;;;;
Podesty;;;;;;;;;;;;;;;;;
Statywy;;;;;;;;;;;;;;;;;
;;;K&M Statyw korbowy 4m;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;2;;Notatka;0.254176 m3;58 kg;Brak statusu;Zwrócony;;247;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
;;;Interfejs audio;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;PARTER 1/B;92;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
;;;Splittery DMX;Ilość;;1 szt.;Od: 2026-06-18 10:45Do: 2026-06-20 21:00;1;;Notatka;0.031694 m3;9 kg;Brak statusu;Zwrócony;PIETRO;67;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
