;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Extender HDMI FIBER 4K;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.011664 m3;2.2 kg;Brak statusu;Zwrócony;PARTER 2/C;33;
;;;Sender Novastar MCTRL4K;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.03816 m3;15.4 kg;Brak statusu;Zwrócony;PARTER 3/A;79;
;;;konwerter światłowodowy Novastar CVT4K-M;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.03816 m3;13.6 kg;Brak statusu;Zwrócony;;82;
;;;Światłowód MPO 12 100m na bębnie;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.03825 m3;8.4 kg;Brak statusu;Zwrócony;;84;
;;;Prezenter Logitech Spotlight;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0 m3;0.2 kg;Brak statusu;Zwrócony;;86;
;;;Skrzynka z przejściówkami i akcesoriami;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.04 m3;6.7 kg;Brak statusu;Zwrócony;;267;
;;;"Statyw podłogowy do monitora 43-55""";Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.05 m3;7 kg;Brak statusu;Zwrócony;PARTER 2/A/B + PARTER 3/C;237;
;;;Extender HDMI Fiber FullHD;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;2;;Notatka;0.01248 m3;2.4 kg;Brak statusu;Zwrócony;PARTER 2/C;206;
Ekrany LED;;;;;;;;;;;;;;;;;
;;;KABINET ABSEN PL2.5;Ilość;;6 szt.;Cały event;86;;Notatka;0 m3;688 kg;Brak statusu;;;569;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
;;;Kamera Sony PXW-X70;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;2;;Notatka;0.0675 m3;13.2 kg;Brak statusu;Zwrócony;;27;
;;;Statyw do kamery;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;2;;Notatka;0.135408 m3;27.2 kg;Brak statusu;Zwrócony;PARTER 3/A;57;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser wizyjny Barco S3 Tricombo MAX;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0 m3;0 kg;Brak statusu;Do zwrócenia (-1);;352;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 55""";Ilość;;2 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;2;;Notatka;0.46 m3;75.2 kg;Brak statusu;Zwrócony;PARTER 3/A;137;
;;;"Monitor 27""";Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.06 m3;11.4 kg;Brak statusu;Zwrócony;;133;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
;;;SDI 50m;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.043344 m3;9.4 kg;Brak statusu;Zwrócony;;114;
;;;SDI 75m;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0.043344 m3;11.2 kg;Brak statusu;Zwrócony;;115;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Cały event;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
;;-;RACK Mac Studio M1 Max;Ilość;;szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;474;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Profil pod diodę 2m;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;3;;Notatka;0 m3;8.4 kg;Brak statusu;Zwrócony;PIETRO;524;
;;;Kostka samopoziomująca Alustage SCD-03;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;12;;Notatka;0 m3;1.2 kg;Brak statusu;Zwrócony;PARTER 2/C;441;
;;;AdamHall najazd Defender Mini 3 kanały;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;4;;Notatka;0.08 m3;22 kg;Brak statusu;Zwrócony;PARTER 2/B;287;
;;;Profil pod diodę 1m;Ilość;;1 szt.;Od: 2026-06-22 12:10Do: 2026-06-24 10:00;1;;Notatka;0 m3;1.4 kg;Brak statusu;Zwrócony;PIETRO;523;
