;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;KeyDigital KD-HDDA1x8 Splitter HDMI 1:8;Ilość;;1 szt.;Cały event;1;;Notatka;0.012 m3;2.2 kg;Brak statusu;Zwrócony;PARTER 2/C;209;
;;;Gefen Spliter HDMI EXT-UHD600-18;Ilość;;1 szt.;Cały event;1;;Notatka;0.03 m3;7.2 kg;Brak statusu;Zwrócony;;266;
Ekrany LED;;;;;;;;;;;;;;;;;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 55""";Ilość;;2 szt.;Cały event;2;;Notatka;0.46 m3;75.2 kg;Brak statusu;Zwrócony;PARTER 3/A;137;
;;;"Monitor 22""";Ilość;;4 szt.2 szt.;Cały event;6;;Notatka;0.26 m3;48.4 kg;Brak statusu;Zwrócony;;131;
;;;"Monitor 75""";Ilość;;2 szt.;Cały event;2;;Notatka;0.87 m3;150 kg;Brak statusu;Zwrócony;PIETRO;139;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Klamra łącząca 2 nogi podestu Alustage SCD-20;Ilość;;1 szt.;Cały event;4;;Notatka;0 m3;2 kg;Brak statusu;Zwrócony;PARTER 2/C;440;
;;;Alustage Noga teleskopowa 40-60cm;Ilość;;1 szt.;Cały event;12;;Notatka;0 m3;12 kg;Brak statusu;Zwrócony;PARTER 2/A;271;
;;;Osłona na statyw TV czarna;Ilość;;1 szt.;Cały event;2;;Notatka;0 m3;0 kg;Brak statusu;Zwrócony;;342;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Cały event;3;;Notatka;0.51 m3;45 kg;Brak statusu;Zwrócony;PIETRO;282;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 60x60 cm czarna;Ilość;;4 szt.;Cały event;3;;Notatka;0.21 m3;92 kg;Brak statusu;Zwrócony;PARTER 2/A;194;
Podesty;;;;;;;;;;;;;;;;;
;;;Podest sceniczny Alustage 1x0,5m;Ilość;;1 szt.;Cały event;3;;Notatka;0.15 m3;36.6 kg;Brak statusu;Zwrócony;;96;
Statywy;;;;;;;;;;;;;;;;;
;;;"B-Tech statyw do TV BT-8503 43""- 60""";Ilość;;1 szt.;Cały event;2;;Notatka;3.54 m3;34 kg;Brak statusu;Zwrócony;PARTER 1/A ORAZ PARTER 3/C;273;
Zastawki;;;;;;;;;;;;;;;;;
Meble cateringowe;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Nagłośnienie;;;;;;;;;;;;;;;;;
Akcesoria nagłośnienie;;;;;;;;;;;;;;;;;
;;;Wzmacniacz słuchawkowy LD SYSTEMS HPA 4 + 4x słuchawki nauszne;Ilość;;1 szt.;Cały event;1;;Notatka;0.01215 m3;2.5 kg;Brak statusu;Zwrócony;PARTER 1/B;203;
Kolumny aktywne;;;;;;;;;;;;;;;;;
Kolumny pasywne;;;;;;;;;;;;;;;;;
Końcówki mocy;;;;;;;;;;;;;;;;;
Mikrofony przewodowe;;;;;;;;;;;;;;;;;
Mikrofony bezprzewodowe;;;;;;;;;;;;;;;;;
Miksery audio;;;;;;;;;;;;;;;;;
;;;Mikser audio Studiomaster C2-2;Ilość;;1 szt.;Cały event;1;;Notatka;0.00837 m3;0.8 kg;Brak statusu;Zwrócony;;37;
Symultana;;;;;;;;;;;;;;;;;
Łączność;;;;;;;;;;;;;;;;;
Okablowanie nagłośnienie;;;;;;;;;;;;;;;;;
Statywy mikrofonowe;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Oświetlenie;;;;;;;;;;;;;;;;;
Akcesoria oświetlenie;;;;;;;;;;;;;;;;;
Ruchome głowy;;;;;;;;;;;;;;;;;
Led Bary;;;;;;;;;;;;;;;;;
Sterowniki/Konsole;;;;;;;;;;;;;;;;;
Led Pary;;;;;;;;;;;;;;;;;
Naświetlacze;;;;;;;;;;;;;;;;;
Okablowanie oświetleniowe;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Prąd;;;;;;;;;;;;;;;;;
Kable 230 V;;;;;;;;;;;;;;;;;
Kable Siłowe;;;;;;;;;;;;;;;;;
Przejściówki siłowe;;;;;;;;;;;;;;;;;
Rozdzielnie elektryczne;;;;;;;;;;;;;;;;;
UPS-y;;;;;;;;;;;;;;;;;
Klapki prądowe;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
IT/ SIEĆ;;;;;;;;;;;;;;;;;
Serwery plików;;;;;;;;;;;;;;;;;
