;;Zdjęcie;Nazwa;Ilość;B;Pakowany;Czas pracy;Grupy sprzętowe;Komentarz;Notatka;Objętość;Waga;Status;Wydania;Miejsce;Id;
Multimedia;;;;;;;;;;;;;;;;;
Multimedia;;;;;;;;;;;;;;;;;
Akcesoria multimedia;;;;;;;;;;;;;;;;;
;;;Sender Novastar MCTRL4K;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.03816 m3;15.4 kg;Brak statusu;;PARTER 3/A;79;
;;;konwerter światłowodowy Novastar CVT4K-M;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.03816 m3;13.6 kg;Brak statusu;;;82;
;;;Światłowód MPO 12 100m na bębnie;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.03825 m3;8.4 kg;Brak statusu;;;84;
;;;"Statyw podłogowy do monitora 43-55""";Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.05 m3;7 kg;Brak statusu;;PARTER 2/A/B + PARTER 3/C;237;
Ekrany LED;;;;;;;;;;;;;;;;;
;;;KABINET ABSEN PL2.5;Ilość;;6 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;84;;Notatka;0 m3;672 kg;Brak statusu;;;569;
Ekrany projekcyjne;;;;;;;;;;;;;;;;;
Głosowanie;;;;;;;;;;;;;;;;;
Kamery, statywy, akcesoria;;;;;;;;;;;;;;;;;
Miksery wizyjne;;;;;;;;;;;;;;;;;
;;;Mikser wizyjny AnalogWay Pulse 4K;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.09216 m3;23 kg;Brak statusu;;PARTER 3/A;200;
Monitory;;;;;;;;;;;;;;;;;
;;;"Monitor 55""";Ilość;;2 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.46 m3;53.4 kg;Brak statusu;;PARTER 3/A;137;
Mównice;;;;;;;;;;;;;;;;;
Projektory;;;;;;;;;;;;;;;;;
Okablowanie multimedialne;;;;;;;;;;;;;;;;;
Obiektywy;;;;;;;;;;;;;;;;;
Laptopy realizacyjne;;;;;;;;;;;;;;;;;
;;;Laptop DELL Latitude 5440;Ilość;;2 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;2;;Notatka;0.02 m3;9.2 kg;Brak statusu;;;1;
Laptopy pomocnicze;;;;;;;;;;;;;;;;;
Media serwery do streamow;;;;;;;;;;;;;;;;;
Media serwery multimedialne;;;;;;;;;;;;;;;;;
IPADY;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Kratownice / Podesty / Elementy montażowe;;;;;;;;;;;;;;;;;
Akcesoria montażowe;;;;;;;;;;;;;;;;;
;;;Schody modułowe do podestu;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0.28 m3;17 kg;Brak statusu;;;93;
;;;Admiral Wysłona podestu 40 cm czarna;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;1;;Notatka;0 m3;0 kg;Brak statusu;;;345;
;;;Alustage Noga teleskopowa 100-180cm;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;24;;Notatka;0.24 m3;91.2 kg;Brak statusu;;;272;
;;;Zastrzał nóg Alustage 2,0m z klamrami;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;6;;Notatka;0.12 m3;19.2 kg;Brak statusu;;PARTER 2/A;121;
;;;Noga aluminiowa 40 cm;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;36;;Notatka;0 m3;28.8 kg;Brak statusu;;PARTER 2/A;279;
Drabiny;;;;;;;;;;;;;;;;;
Kotary;;;;;;;;;;;;;;;;;
Kratownice;;;;;;;;;;;;;;;;;
;;;Alustage kratownica Quadro 2m czarna;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;11;;Notatka;1.87 m3;165 kg;Brak statusu;;PIETRO;282;
;;;Alustage kratownica Quadro 3m czarna;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;2;;Notatka;0.5 m3;43.4 kg;Brak statusu;;PIETRO;284;
;;;Alustage kratownica Quadro 1m czarna;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;3;;Notatka;0.24 m3;24.6 kg;Brak statusu;;PIETRO;283;
;;;Alustage Corner Box czarny;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;6;;Notatka;0.3 m3;84 kg;Brak statusu;;PIETRO;269;
Obciążenie;;;;;;;;;;;;;;;;;
;;;Podstawa do kratownicy Alustage 100x100 cm czarna;Ilość;;4 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;2;;Notatka;0.6 m3;152 kg;Brak statusu;;PARTER 2/A;222;
;;;Podstawa do kratownicy Alustage 80x80 cm czarna;Ilość;;6 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;6;;Notatka;0.36 m3;169.2 kg;Brak statusu;;PARTER 2/A;221;
Podesty;;;;;;;;;;;;;;;;;
;;;Podest sceniczny Alustage 1x0,5m;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;6;;Notatka;0.3 m3;73.2 kg;Brak statusu;;;96;
;;;Podest sceniczny Alustage 2x1m;Ilość;;1 szt.;Od: 2026-07-08 06:00Do: 2026-07-08 23:00;9;;Notatka;1.8 m3;292.5 kg;Brak statusu;;;95;
Statywy;;;;;;;;;;;;;;;;;
