status;base_name;survivor_model_id;old_model_id;old_model_name;extracted_number;marker;item_id;old_item_number;new_item_number;old_item_name;new_item_name;note
PLAN;10 x LedBar TRIBAR 400 IR;3;3;10 x LedBar TRIBAR 400 IR (zestaw 1);1;ZESTAW_PAREN;90;;1;10 x LedBar TRIBAR 400 IR (zestaw 1);10 x LedBar TRIBAR 400 IR [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;10 x LedBar TRIBAR 400 IR;3;4;10 x LedBar TRIBAR 400 IR (zestaw 2);2;ZESTAW_PAREN;11;;2;10 x LedBar TRIBAR 400 IR (zestaw 2);10 x LedBar TRIBAR 400 IR [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;10 x LedBar TRIBAR 400 IR;3;5;10 x LedBar TRIBAR 400 IR (zestaw 3);3;ZESTAW_PAREN;158;;3;10 x LedBar TRIBAR 400 IR (zestaw 3);10 x LedBar TRIBAR 400 IR [3];Numer 3 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;10 x LedBar TRIBAR 400 IR;3;6;10 x LedBar TRIBAR 400 IR (zestaw 4);4;ZESTAW_PAREN;433;;4;10 x LedBar TRIBAR 400 IR (zestaw 4);10 x LedBar TRIBAR 400 IR [4];Numer 4 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Aktywna kolumna DAS Audio Action-508A;7;7;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1);1;ZESTAW_PAREN;148;;1;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 1);2 x Aktywna kolumna DAS Audio Action-508A [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Aktywna kolumna DAS Audio Action-508A;7;8;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2);2;ZESTAW_PAREN;220;;2;2 x Aktywna kolumna DAS Audio Action-508A (zestaw 2);2 x Aktywna kolumna DAS Audio Action-508A [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Aktywna kolumna Proel WD12A;9;9;2 x Aktywna kolumna Proel WD12A (zestaw 1);1;ZESTAW_PAREN;123;;1;2 x Aktywna kolumna Proel WD12A (zestaw 1);2 x Aktywna kolumna Proel WD12A [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Aktywna kolumna Proel WD12A;9;10;2 x Aktywna kolumna Proel WD12A (zestaw 2);2;ZESTAW_PAREN;82;;2;2 x Aktywna kolumna Proel WD12A (zestaw 2);2 x Aktywna kolumna Proel WD12A [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Kolumna pasywna L'Acoustics X12;12;12;2 x Kolumna pasywna L'Acoustics X12 (zestaw 1);1;ZESTAW_PAREN;221;;1;2 x Kolumna pasywna L'Acoustics X12 (zestaw 1);2 x Kolumna pasywna L'Acoustics X12 [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Kolumna pasywna L'Acoustics X12;12;13;2 x Kolumna pasywna L'Acoustics X12 (zestaw 2);2;ZESTAW_PAREN;217;;2;2 x Kolumna pasywna L'Acoustics X12 (zestaw 2);2 x Kolumna pasywna L'Acoustics X12 [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Kolumna pasywna L'Acoustics X8;14;14;2 x Kolumna pasywna L'Acoustics X8 (zestaw 1);1;ZESTAW_PAREN;107;;1;2 x Kolumna pasywna L'Acoustics X8 (zestaw 1);2 x Kolumna pasywna L'Acoustics X8 [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x Kolumna pasywna L'Acoustics X8;14;15;2 x Kolumna pasywna L'Acoustics X8 (zestaw 2);2;ZESTAW_PAREN;393;;2;2 x Kolumna pasywna L'Acoustics X8 (zestaw 2);2 x Kolumna pasywna L'Acoustics X8 [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p];16;16;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1);1;ZESTAW_PAREN;71;2;1;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 1) [2];2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] [1];Numer 1 przeniesiony z nazwy modelu (ZESTAW_PAREN)
PLAN;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p];16;17;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2);2;ZESTAW_PAREN;357;1;2;2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] (zestaw 2) [1];2 x LAPTOP DO GŁOSOWAŃ [Lenovo T540p] [2];Numer 2 przeniesiony z nazwy modelu (ZESTAW_PAREN)
